species,sex,index,FL,RW,CL,CW,BD
Blue,Male,1,8.1,6.7,16.1,19,7
Blue,Male,2,8.8,7.7,18.1,20.8,7.4
Blue,Male,3,9.2,7.8,19,22.4,7.7
Blue,Male,4,9.6,7.9,20.1,23.1,8.2
Blue,Male,5,9.8,8,20.3,23,8.2
Blue,Male,6,10.8,9,23,26.5,9.8
Blue,Male,7,11.1,9.9,23.8,27.1,9.8
Blue,Male,8,11.6,9.1,24.5,28.4,10.4
Blue,Male,9,11.8,9.6,24.2,27.8,9.7
Blue,Male,10,11.8,10.5,25.2,29.3,10.3
Blue,Male,11,12.2,10.8,27.3,31.6,10.9
Blue,Male,12,12.3,11,26.8,31.5,11.4
Blue,Male,13,12.6,10,27.7,31.7,11.4
Blue,Male,14,12.8,10.2,27.2,31.8,10.9
Blue,Male,15,12.8,10.9,27.4,31.5,11
Blue,Male,16,12.9,11,26.8,30.9,11.4
Blue,Male,17,13.1,10.6,28.2,32.3,11
Blue,Male,18,13.1,10.9,28.3,32.4,11.2
Blue,Male,19,13.3,11.1,27.8,32.3,11.3
Blue,Male,20,13.9,11.1,29.2,33.3,12.1
Blue,Male,21,14.3,11.6,31.3,35.5,12.7
Blue,Male,22,14.6,11.3,31.9,36.4,13.7
Blue,Male,23,15,10.9,31.4,36.4,13.2
Blue,Male,24,15,11.5,32.4,37,13.4
Blue,Male,25,15,11.9,32.5,37.2,13.6
Blue,Male,26,15.2,12.1,32.3,36.7,13.6
Blue,Male,27,15.4,11.8,33,37.5,13.6
Blue,Male,28,15.7,12.6,35.8,40.3,14.5
Blue,Male,29,15.9,12.7,34,38.9,14.2
Blue,Male,30,16.1,11.6,33.8,39,14.4
Blue,Male,31,16.1,12.8,34.9,40.7,15.7
Blue,Male,32,16.2,13.3,36,41.7,15.4
Blue,Male,33,16.3,12.7,35.6,40.9,14.9
Blue,Male,34,16.4,13,35.7,41.8,15.2
Blue,Male,35,16.6,13.5,38.1,43.4,14.9
Blue,Male,36,16.8,12.8,36.2,41.8,14.9
Blue,Male,37,16.9,13.2,37.3,42.7,15.6
Blue,Male,38,17.1,12.6,36.4,42,15.1
Blue,Male,39,17.1,12.7,36.7,41.9,15.6
Blue,Male,40,17.2,13.5,37.6,43.9,16.1
Blue,Male,41,17.7,13.6,38.7,44.5,16
Blue,Male,42,17.9,14.1,39.7,44.6,16.8
Blue,Male,43,18,13.7,39.2,44.4,16.2
Blue,Male,44,18.8,15.8,42.1,49,17.8
Blue,Male,45,19.3,13.5,41.6,47.4,17.8
Blue,Male,46,19.3,13.8,40.9,46.5,16.8
Blue,Male,47,19.7,15.3,41.9,48.5,17.8
Blue,Male,48,19.8,14.2,43.2,49.7,18.6
Blue,Male,49,19.8,14.3,42.4,48.9,18.3
Blue,Male,50,21.3,15.7,47.1,54.6,20
Blue,Female,1,7.2,6.5,14.7,17.1,6.1
Blue,Female,2,9,8.5,19.3,22.7,7.7
Blue,Female,3,9.1,8.1,18.5,21.6,7.7
Blue,Female,4,9.1,8.2,19.2,22.2,7.7
Blue,Female,5,9.5,8.2,19.6,22.4,7.8
Blue,Female,6,9.8,8.9,20.4,23.9,8.8
Blue,Female,7,10.1,9.3,20.9,24.4,8.4
Blue,Female,8,10.3,9.5,21.3,24.7,8.9
Blue,Female,9,10.4,9.7,21.7,25.4,8.3
Blue,Female,10,10.8,9.5,22.5,26.3,9.1
Blue,Female,11,11,9.8,22.5,25.7,8.2
Blue,Female,12,11.2,10,22.8,26.9,9.4
Blue,Female,13,11.5,11,24.7,29.2,10.1
Blue,Female,14,11.6,11,24.6,28.5,10.4
Blue,Female,15,11.6,11.4,23.7,27.7,10
Blue,Female,16,11.7,10.6,24.9,28.5,10.4
Blue,Female,17,11.9,11.4,26,30.1,10.9
Blue,Female,18,12,10.7,24.6,28.9,10.5
Blue,Female,19,12,11.1,25.4,29.2,11
Blue,Female,20,12.6,12.2,26.1,31.6,11.2
Blue,Female,21,12.8,11.7,27.1,31.2,11.9
Blue,Female,22,12.8,12.2,26.7,31.1,11.1
Blue,Female,23,12.8,12.2,27.9,31.9,11.5
Blue,Female,24,13,11.4,27.3,31.8,11.3
Blue,Female,25,13.1,11.5,27.6,32.6,11.1
Blue,Female,26,13.2,12.2,27.9,32.1,11.5
Blue,Female,27,13.4,11.8,28.4,32.7,11.7
Blue,Female,28,13.7,12.5,28.6,33.8,11.9
Blue,Female,29,13.9,13,30,34.9,13.1
Blue,Female,30,14.7,12.5,30.1,34.7,12.5
Blue,Female,31,14.9,13.2,30.1,35.6,12
Blue,Female,32,15,13.8,31.7,36.9,14
Blue,Female,33,15,14.2,32.8,37.4,14
Blue,Female,34,15.1,13.3,31.8,36.3,13.5
Blue,Female,35,15.1,13.5,31.9,37,13.8
Blue,Female,36,15.1,13.8,31.7,36.6,13
Blue,Female,37,15.2,14.3,33.9,38.5,14.7
Blue,Female,38,15.3,14.2,32.6,38.3,13.8
Blue,Female,39,15.4,13.3,32.4,37.6,13.8
Blue,Female,40,15.5,13.8,33.4,38.7,14.7
Blue,Female,41,15.6,13.9,32.8,37.9,13.4
Blue,Female,42,15.6,14.7,33.9,39.5,14.3
Blue,Female,43,15.7,13.9,33.6,38.5,14.1
Blue,Female,44,15.8,15,34.5,40.3,15.3
Blue,Female,45,16.2,15.2,34.5,40.1,13.9
Blue,Female,46,16.4,14,34.2,39.8,15.2
Blue,Female,47,16.7,16.1,36.6,41.9,15.4
Blue,Female,48,17.4,16.9,38.2,44.1,16.6
Blue,Female,49,17.5,16.7,38.6,44.5,17
Blue,Female,50,19.2,16.5,40.9,47.9,18.1
Orange,Male,1,9.1,6.9,16.7,18.6,7.4
Orange,Male,2,10.2,8.2,20.2,22.2,9
Orange,Male,3,10.7,8.6,20.7,22.7,9.2
Orange,Male,4,11.4,9,22.7,24.8,10.1
Orange,Male,5,12.5,9.4,23.2,26,10.8
Orange,Male,6,12.5,9.4,24.2,27,11.2
Orange,Male,7,12.7,10.4,26,28.8,12.1
Orange,Male,8,13.2,11,27.1,30.4,12.2
