Country,Region,IncomeGroup
Afghanistan,South Asia,Low income
Albania,Europe & Central Asia,Upper middle income
Algeria,Middle East & North Africa,Upper middle income
American Samoa,East Asia & Pacific,Upper middle income
Andorra,Europe & Central Asia,High income
Angola,Sub-Saharan Africa,Upper middle income
Antigua and Barbuda,Latin America & Caribbean,High income
Argentina,Latin America & Caribbean,Upper middle income
Armenia,Europe & Central Asia,Lower middle income
Aruba,Latin America & Caribbean,High income
Australia,East Asia & Pacific,High income
Austria,Europe & Central Asia,High income
Azerbaijan,Europe & Central Asia,Upper middle income
"Bahamas, The",Latin America & Caribbean,High income
Bahrain,Middle East & North Africa,High income
Bangladesh,South Asia,Lower middle income
Barbados,Latin America & Caribbean,High income
Belarus,Europe & Central Asia,Upper middle income
Belgium,Europe & Central Asia,High income
Belize,Latin America & Caribbean,Upper middle income
Benin,Sub-Saharan Africa,Low income
Bermuda,North America,High income
Bhutan,South Asia,Lower middle income
Bolivia,Latin America & Caribbean,Lower middle income
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
Botswana,Sub-Saharan Africa,Upper middle income
Brazil,Latin America & Caribbean,Upper middle income
British Virgin Islands,Latin America & Caribbean,High income
Brunei Darussalam,East Asia & Pacific,High income
Bulgaria,Europe & Central Asia,Upper middle income
Burkina Faso,Sub-Saharan Africa,Low income
Burundi,Sub-Saharan Africa,Low income
Cabo Verde,Sub-Saharan Africa,Lower middle income
Cambodia,East Asia & Pacific,Lower middle income
Cameroon,Sub-Saharan Africa,Lower middle income
Canada,North America,High income
Cayman Islands,Latin America & Caribbean,High income
Central African Republic,Sub-Saharan Africa,Low income
Chad,Sub-Saharan Africa,Low income
Channel Islands,Europe & Central Asia,High income
Chile,Latin America & Caribbean,High income
China,East Asia & Pacific,Upper middle income
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income
Colombia,Latin America & Caribbean,Upper middle income
Comoros,Sub-Saharan Africa,Low income
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income
"Congo, Rep.",Sub-Saharan Africa,Lower middle income
Costa Rica,Latin America & Caribbean,Upper middle income
Croatia,Europe & Central Asia,High income
Cuba,Latin America & Caribbean,Upper middle income
Curacao,Latin America & Caribbean,High income
Cyprus,Europe & Central Asia,High income
Czech Republic,Europe & Central Asia,High income
Denmark,Europe & Central Asia,High income
Djibouti,Middle East & North Africa,Lower middle income
Dominica,Latin America & Caribbean,Upper middle income
Dominican Republic,Latin America & Caribbean,Upper middle income
Ecuador,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income
El Salvador,Latin America & Caribbean,Lower middle income
Equatorial Guinea,Sub-Saharan Africa,Upper middle income
Eritrea,Sub-Saharan Africa,Low income
Estonia,Europe & Central Asia,High income
Ethiopia,Sub-Saharan Africa,Low income
Faroe Islands,Europe & Central Asia,High income
Fiji,East Asia & Pacific,Upper middle income
Finland,Europe & Central Asia,High income
France,Europe & Central Asia,High income
French Polynesia,East Asia & Pacific,High income
Gabon,Sub-Saharan Africa,Upper middle income
"Gambia, The",Sub-Saharan Africa,Low income
Georgia,Europe & Central Asia,Upper middle income
Germany,Europe & Central Asia,High income
Ghana,Sub-Saharan Africa,Lower middle income
Gibraltar,Europe & Central Asia,High income
Greece,Europe & Central Asia,High income
Greenland,Europe & Central Asia,High income
Grenada,Latin America & Caribbean,Upper middle income
Guam,East Asia & Pacific,High income
Guatemala,Latin America & Caribbean,Lower middle income
Guinea,Sub-Saharan Africa,Low income
Guinea-Bissau,Sub-Saharan Africa,Low income
Guyana,Latin America & Caribbean,Upper middle income
Haiti,Latin America & Caribbean,Low income
Honduras,Latin America & Caribbean,Lower middle income
"Hong Kong SAR, China",East Asia & Pacific,High income
Hungary,Europe & Central Asia,High income
Iceland,Europe & Central Asia,High income
India,South Asia,Lower middle income
Indonesia,East Asia & Pacific,Lower middle income
"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income
Iraq,Middle East & North Africa,Upper middle income
Ireland,Europe & Central Asia,High income
Isle of Man,Europe & Central Asia,High income
Israel,Middle East & North Africa,High income
Italy,Europe & Central Asia,High income
Jamaica,Latin America & Caribbean,Upper middle income
Japan,East Asia & Pacific,High income
Jordan,Middle East & North Africa,Upper middle income
Kazakhstan,Europe & Central Asia,Upper middle income
Kenya,Sub-Saharan Africa,Lower middle income
Kiribati,East Asia & Pacific,Lower middle income
"Korea, Dem. PeopleŠ—Ès Rep.",East Asia & Pacific,Low income
"Korea, Rep.",East Asia & Pacific,High income
Kosovo,Europe & Central Asia,Lower middle income
Kuwait,Middle East & North Africa,High income
Kyrgyz Republic,Europe & Central Asia,Lower middle income
Lao PDR,East Asia & Pacific,Lower middle income
Latvia,Europe & Central Asia,High income
Lebanon,Middle East & North Africa,Upper middle income
Lesotho,Sub-Saharan Africa,Lower middle income
Liberia,Sub-Saharan Africa,Low income
Libya,Middle East & North Africa,Upper middle income
Liechtenstein,Europe & Central Asia,High income
Lithuania,Europe & Central Asia,High income
Luxembourg,Europe & Central Asia,High income
"Macao SAR, China",East Asia & Pacific,High income
"Macedonia, FYR",Europe & Central Asia,Upper middle income
Madagascar,Sub-Saharan Africa,Low income
Malawi,Sub-Saharan Africa,Low income
Malaysia,East Asia & Pacific,Upper middle income
Maldives,South Asia,Upper middle income
Mali,Sub-Saharan Africa,Low income
Malta,Middle East & North Africa,High income
Marshall Islands,East Asia & Pacific,Upper middle income
Mauritania,Sub-Saharan Africa,Lower middle income
Mauritius,Sub-Saharan Africa,Upper middle income
Mexico,Latin America & Caribbean,Upper middle income
"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income
Moldova,Europe & Central Asia,Lower middle income
Monaco,Europe & Central Asia,High income
Mongolia,East Asia & Pacific,Lower middle income
Montenegro,Europe & Central Asia,Upper middle income
Morocco,Middle East & North Africa,Lower middle income
Mozambique,Sub-Saharan Africa,Low income
Myanmar,East Asia & Pacific,Lower middle income
Namibia,Sub-Saharan Africa,Upper middle income
Nauru,East Asia & Pacific,High income
Nepal,South Asia,Low income
Netherlands,Europe & Central Asia,High income
New Caledonia,East Asia & Pacific,High income
New Zealand,East Asia & Pacific,High income
Nicaragua,Latin America & Caribbean,Lower middle income
Niger,Sub-Saharan Africa,Low income
Nigeria,Sub-Saharan Africa,Lower middle income
Northern Mariana Islands,East Asia & Pacific,High income
Norway,Europe & Central Asia,High income
Oman,Middle East & North Africa,High income
Pakistan,South Asia,Lower middle income
Palau,East Asia & Pacific,Upper middle income
Panama,Latin America & Caribbean,Upper middle income
Papua New Guinea,East Asia & Pacific,Lower middle income
Paraguay,Latin America & Caribbean,Upper middle income
Peru,Latin America & Caribbean,Upper middle income
Philippines,East Asia & Pacific,Lower middle income
Poland,Europe & Central Asia,High income
Portugal,Europe & Central Asia,High income
Puerto Rico,Latin America & Caribbean,High income
Qatar,Middle East & North Africa,High income
Romania,Europe & Central Asia,Upper middle income
Russian Federation,Europe & Central Asia,Upper middle income
Rwanda,Sub-Saharan Africa,Low income
Samoa,East Asia & Pacific,Lower middle income
San Marino,Europe & Central Asia,High income
Saudi Arabia,Middle East & North Africa,High income
Senegal,Sub-Saharan Africa,Low income
Serbia,Europe & Central Asia,Upper middle income
Seychelles,Sub-Saharan Africa,High income
Sao Tome and Principe,Sub-Saharan Africa,Lower middle income
Sierra Leone,Sub-Saharan Africa,Low income
Singapore,East Asia & Pacific,High income
