idAmazon,title,description,manufacturer,price
b0002itt84,rise of nations: gold (mac),rise of nations combines the thrills and speed of real-time strategy with the in-depth management of turn-based gaming for an all new experience! streamlined multiplayer action for up to 8 players on a lan or an internet connection!,macsoft,49.99
b000pgvk5s,apple final cut studio 2 (mac),final cut studio 2 delivers an integrated post-production solution that lets you move effortlessly from editing to color grading to creating motion graphics to sculpting audio to multiformat encoding and dvd authoring. this powerful new version features final cut pro 6 motion 3 soundtrack pro 2 compressor 3 dvd studio pro 4 and color the newest member of the suite. craft the perfect story using a tightly integrated and innovative suite of products created specifically for video editors. with xml to share project data and quicktime to seamlessly move media between systems final cut studio 2 can fit into virtually any production pipeline or newsroom. editing unleashed final cut studio 2 helps take you beyond mere editing. discover the intuitive power of new creative tools designed expressly for final cut pro editors. rapidly move through editing to motion graphics audio editing and mixing color grading and delivery--all as a natural extension of the work you already do. final cut studio 2 puts a powerful new version of final cut pro at the center of an integrated post-production workflow. final cut studio 2 includes final cut pro 6 motion 3 soundtrack pro 2 compressor 3 dvd studio pro 4 and color--a brand-new application for professional color grading. it's a final cut world independent filmmakers. hollywood film editors. corporate video and event producers. editors with hourly deadlines cutting broadcast spots or network news. hundreds of thousands of creative professionals all over the world have made final cut pro their first choice for editing. it has rapidly become an industry standard. building on this success apple has designed each application in final cut studio 2 with final cut pro editors in mind. start working quickly with intuitive tools and familiar interfaces. whenever you're ready for precise control a comprehensive set of features is just a click away. the editor's choice final cut studio 2 is fast fluid and flexible. use a laptop on location and a desktop in the studio. start with the tools you already use today and extend your reach when you're ready. final cut studio 2 has everything you need in a single product. edit. use final cut pro 6 for native editing of virtually any format--from dv and sd up to hdv xdcam hd dvcpro hd and fully uncompressed hd. or use prores 422 a new post-production format from apple that offers uncompressed hd quality at sd file sizes. drag clips with different formats and even different frame rates into the new open format timeline. animate. create stunning 2d and 3d motion graphics in real time with motion 3 the fastest and most intuitive way to animate and express your creative vision. just drag and drop to make dramatic particle effects explode into 3d space; form vector-based paint strokes with the swish of a pen. new motion master templates let you edit text and drop in video without leaving final cut pro. mix. record and edit dialogue add music and effects and complete your mix with ease. soundtrack pro 2 lets you work faster than ever in its new streamlined interface. you can even produce in surround sound using innovative visual tools. if you make changes to your edit in final cut pro you can rapidly update your audio mix with the powerful conform feature in soundtrack pro. grade. give your production a signature look or create a consistent feel for shots from different sources. color is the newest member of the final cut studio family offering professional color grading that can elevate the quality of any production. deliver. use compressor 3 to create pristine-quality output for a wide range of delivery formats--including the web ipod iphone apple tv and broadcast servers. a streamlined new interface lets you batch-process encoding with point-and-click ease. if film is your destination use cinema tools 4 to output film lists that combine timecode and keycode in a single list. or use dvd studio pro 4 for professional dvd authoring and mastering. post-production without walls final cut studio 2 is not just a product. it's a platform. open standards encourage innovation giving developers and partners the freedom to create custom solutions. with xml to share project data and quicktime to seamlessly move media between systems final cut studio 2 can fit into virtually any production pipeline or newsroom. whether you're working in a group of 2 or 200 final cut studio lets you collaborate with ease. share media seamlessly across multiple workstations with xsan. use final cut server--with or without xsan--for media asset management and workflow automation that is deeply integrated with final cut studio 2. whether you're cutting commercials editing feature films or pushing out the nightly news final cut server helps you work faster whenever you're working together. final cut pro 6one timeline. infinite possibilities. mix and match source material--both formats and frame rates--in real time using the new open format timeline in final cut pro 6. create exactly the look you want for your projects with the complete set of professional color grading and finishing tools in color. easily create sophisticated 3d environments with depth and realism--with the real-time 3d multiplane compositing tools in motion 3. fly through audio editing and mixing create immersive soundtracks and easily conform audio to video edits using the new streamlined interface in soundtrack pro 2. deliver your best work quickly and easily to virtually any format encoding hands-free on your local mac or across a network of connected mac systems with compressor 3. produce sophisticated fully interactive studio-quality dvd titles with drag-and-drop ease using dvd studio pro 4. the first choice of professional editors worldwide final cut pro 6 delivers high performance digital nonlinear editing native support for virtually any video format and facility-class extensibility and interoperability. its workflow extends through the other final cut studio applications and final cut server for even more power. whether you're working solo or collaborating with a team final cut pro gives you more creative options and technical control than ever before including: broad format support incredible real-time effects comprehensive editing tools expanded power as the hub of final cut studio open extensible architecture colorcolor grading is in the house. color grading involves more than color correction. just as different soundtracks can make a particular scene feel humorous romantic or menacing the look created by a color grade can radically alter the tone and mood of a sequence. color apple's new professional color grading application makes it easy for editors to create signature looks for projects ranging from short video pieces to full-length theatrical films. color offers the following key features: real-time professional color grading dramatic color effects cinema-quality signature looks final cut studio workflows motion 3now playing in 3d. motion 3 takes the complexity out of 3d by extending the 2d tools you already use. with its intuitive interface and rich toolset the only limit is your imagination. send particles exploding through space. swing cameras around an object with breathtaking ease. squiggle a vector-based paint stroke in 3d through the cosmos. motion 3 lets you create 3d motion graphics with drag-and-drop ease startling performance and unprecedented color fidelity. this powerful upgrade to apple's award-winning motion graphics software features: an intuitive real-time design environment flexible animation tools 3d motion graphics done right breathtaking filters and effects numerous time-saving features soundtrack pro 2the next wave in audio post. soundtrack pro 2 offers unprecedented convenience and power to editors. fly through audio editing and mixing with a new streamlined interface that combines the multitrack timeline and waveform editor in a single view. easily create immersive soundtracks with innovative surround sound tools. automatically conform your audio edit to changes made in your video edit. with its familiar interface and intuitive tools soundtrack pro is the final cut pro of audio post-production. key features of soundtrack pro 2 include: streamlined multitrack interface professional editing and dialogue tools intuitive surround sound automatic audio conform process intelligent workflows compressor 3create once. debut everywhere. with increasing demand for media distribution in multiple formats--ranging from hd broadcast to an ipod screen--it's more important than ever to be able to output files efficiently while keeping quality high. the streamlined interface of compressor 3 lets you quickly configure batch processes for encoding to a wide range of industry standard formats. or create format and standards conversions at pristine quality through sophisticated optical flow technology. for the ultimate high-speed workflow set up distributed encoding over a shared-media network powered by xsan. key features of compressor 3 include: streamlined encoding workflow industry-standard encoding support pristine format conversions distributed encoding dvd studio pro 4simply powerful dvd authoring. dvd studio pro 4 makes it easy to extend your creative vision to every aspect of dvd authoring. whether your project is simple or sophisticated you'll enjoy using familiar easy-to-use tools to produce the perfect presentation of your sd or hd content. a comprehensive set of advanced features is available whenever you want more control. key features of dvd studio pro 4 include: intuitive design environment professional authoring tools versatile dvd mastering post-production workgroups collaborate with a small team of editors in a boutique post-production facility. or build a custom workfl ow for a global news network. whether you're sharing a small number of media assets over a lan or supporting hundreds of editors on a san final cut studio makes it easy for everyone to work together. shared media assets small workgroups can share media over a lan or wan by copying assets from a shared volume to a local workstation. for a scalable high-performance shared storage solution final cut studio editors can collaborate over a fibre channel storage area network (san) powered by xsan. with xsan every editor on a project has concurrent access to source media files and never needs to transfer assets between workstations. each mac system accesses shared files on the san as if the storage were directly attached. xsan can support hundreds of concurrent clients and can easily be expanded to provide more storage capacity and bandwidth as your needs grow. asset management and workflow automation meet final cut server apple's powerful new media asset management and workflow automation software. final cut server takes the headache out of managing large collections of media files then extends to tracking job status managing reviews and approvals and automating complex sequences of tasks--all with apple's legendary ease of use and all in a single product designed to work seamlessly with final cut studio. final cut server combines server software designed to run on mac os x with a cross-platform client that runs on either macintosh or windows-based computers. collaborate over a lan or wan with a small number of users or leverage the power of xsan to share media across a large number of workstations.,apple,1299
b0001wn0m2,microsoft office 2004 standard (mac),office 2004 standard is designed to be a total office package for mac users who need compatibility with windows. start working with the latest versions of excel outlook powerpoint and word - with all-new mac-only features for a more productive office environment! add sophistication to your word documents soft drop shadows word smart buttons allows users to decline the automatic corrections bulleting and numbering new presenter tools for powerpoint - tools like the on-screen clock notes pane and thumbnail viewer make changes and adjustments simple entourage 2004 offers improved junk e-mail protection better exchange support advanced three columns and more -- get through your inbox faster than before compatibility reports determine compatibility between projects in windows and mac formats stay in touch with msn messenger for mac,microsoft,399.99
b00004t2un,sales skills 2.0 ages 10+,real video saltware aquarium on your desktop!product informationsee real fish swimming on your desktop in full-motion video! you'll find exotic saltwater fish such as sharks angelfish and more! enjoy the beauty and serenity of a real aquarium at yourdeskt,victory multimedia,19.95
b000ov0gao,hollywood volume 1,contains the following songs: 1. arthur's theme 2. axel f 3. love theme out of africa 4. raiders march 5. the way he makes me feel 6. somewhere out there 7. cantina band 8. princess leia's theme 9. against all odds 10. can you read my mind 11. the windmills of your mind/the summer knows (theme from summer of '42),yamaha,31.95
b000fdetxq,apple remote desktop 3 unlim managed systems,apple's remote desktop 3: unlimited managed systems has the power to simplify administrative tasks and make managing networked mac os x systems easy and efficient. this new version has even more options for distributing software automating common tasks and providing remote assistance to your organization. the remote spotlight search gives you an instant at-a-glance view of the remote computers in your network. automator actions use third-party actions to create your own custom workflows which you can then save and reuse as needed. to help get you started more than 30 automator actions have been included. the autoinstall feature of apple remote desktop 3 you can stage software to install on remote mobile or offline systems. just stage the software and when the computer is back on the network apple remote desktop will automatically update the system. other features are described below. special license for unlimited networks. user history reports give you detailed information on who is using a computer when they logged in and out and how they accessed the computer smart computer lists track computers easily -- specify a set of rules based on 11 attributes; any computer that matches the rules you set automatically gets added to the list save frequently-used tasks as task templates that you can reuse whenever you need them over 30 sample unix scripts are included to help with setting desktop pictures time zone settings energy saving settings and more,apple,499
b0001y7poo,hp sp linux we 50 lic/cd 3.0c ( t3586a ),sp linux we 50 lic/cd 3.0c,hewlett packard (consumables),0
b000nvkyse,pro photo essentials plug in suite & iview mediapro 3,pro photo essentials plug in - suite & iview mediapro 3,onone software,499.95
b000h13a2w,3d home architect landscape v.8 by encore software,from decks to daisies swimming pools to sunflowers a world of landscaping possibilities are available on users' desktops. more than just a layout program 3d home architect landscape design version 8 delivers photo realistic 3d renderings of personal landscape plans in changing light throughout the seasons and more.,encore software,39.99
b0009jhv1s,live bingo,,imagination international corp,0
