idGoogleBase,name,description,manufacturer,price
http://www.google.com/base/feeds/snippets/13298644336068097806,encore software 10599 - encore registry mechanic v.5.1 - complete product - utility - 1 user(s) - complete product - standard - pc,encore software 10599 : pc tools registry mechanic will safely scan clean repair and optimize the windows registry with a few simple mouse clicks. now you can improve the pc's system performance and stability deeply scan and detect any errors and ...,,25.97
http://www.google.com/base/feeds/snippets/16934204320953872944,adobe indesign cs3 for mac upgrade from pagemaker,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 256mb ram (512mb recommended) 1.6gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive ...,,205.99
http://www.google.com/base/feeds/snippets/4998847858583359731,encore software 10568 - encore hoyle puzzle & board games 2005 - complete product - puzzle game - 1 user - complete product - standard - pc,encore software 10568 : with old classics and new challenges there is something for every player with hoyle puzzle & board games. this great collection of games includes puzzles that challenge your brain and test your skill and classic table games ...,,17.97
http://www.google.com/base/feeds/snippets/16959392076941739015,school zone interactive multiplication & division 3-4 on track software,multiplication & division introduces mutliplication and division facts regrouping remainders story problems and more. fun activities games and rewards make this a great way to learn! system requirements: windows®: microsoft® w,,9.45
http://www.google.com/base/feeds/snippets/15744420000863688597,apple software m9953z/a remote desktop 2.2 10 client,the 10-client version allows one administrator to manage up to 10 mac os x computers. apple remote desktop 2 delivers over 50 new features including vnc-compatible screen sharing remote shell scripts task lists and remote boot disk selection. ...,apple software,294.99
http://www.google.com/base/feeds/snippets/17383951289144054339,ahead software 70009 - nero nero v.7.0 ultra edition -enhanced - complete product - media management/conversion - 1 user - complete product - standard - pc,ahead software 70009 : nero 7 ultra edition enhanced now offers both the pc and tv media management experience for a complete solution. with over 18 new and updated applications in one powerful piece of software nero 7 ultra edition is truly the ...,,83.97
http://www.google.com/base/feeds/snippets/6070036801370348429,power production power production storyboard artist software animation software,power production storyboard artist software for educators - mac storyboard artist 4 (educational) provides the convenience of a layout and design program with elements of content creation and digital editing software allowing creative people to ...,,498.95
http://www.google.com/base/feeds/snippets/18282499725938188855,sims 2 pets for mac,system requirements: requires the full version of the sims 2 for mac os x to play operating system: mac os x 10.3.9 or later cpu processor: powerpc g4/g5 or intel chipset cpu speed: 1.2ghz or faster memory: 256 mb or higher (512 mb recommended) hard ...,,34.99
http://www.google.com/base/feeds/snippets/13773294714940805969,pc-cillin internet security 2007 3-user (win me 2000 xp),trusted by millions to protect their identity privacy and irreplaceable filestrend micro? internet security 2007 and trendsecure comprehensively safeguards your computers your home networks and your personal identity. email shop share pictures ...,,49.95
http://www.google.com/base/feeds/snippets/17588771746186862436,emedia music corp emedia blues guitar legends,emedia`s blues guitar legends is the ultimate way to learn how to play classic blues songs from the masters themselves! music notation is highlighted as songs play while an animated fretboard displays fingerprints in real-time so that you don`t ...,,24.81
http://www.google.com/base/feeds/snippets/10496277297966281940,punch software 20100 punch! 5 in 1 home design,total interior and exterior home design with realistic high-resolution 3d graphics! 20100 punch software,punch software,35.99
http://www.google.com/base/feeds/snippets/10202903815808902868,palmspring software 523 oxford american desk dictionary,oxford american desk dictionary 523 palmspring software,palmspring software,24.2
http://www.google.com/base/feeds/snippets/2927219174769865115,adobe illustrator cs3 for mac,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 512mb ram (1gb recommended) 2.5gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive ...,,619.99
http://www.google.com/base/feeds/snippets/120530118247554984,agile software development ecosystems: problems practices and principles,in a highly volatile software development environment developers must be nimble responsive and able to hit a moving target--in short they must be agile. agile software development is designed to address this need for speed and flexibility. ...,,49.99
http://www.google.com/base/feeds/snippets/9997282084409978802,dr. seuss reading learning system 2008 encore,key features: develop reading skills dr. seuss classic books ...,,19.95
http://www.google.com/base/feeds/snippets/13264093951540339583,print workshop 2007 (pc) valusoft,key features: photo editing burn photo cds and dvds scrapbooks and projects improved web publishing ...,,19.99
