Country Name,Time,Country Code,"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]",Adjusted savings: particulate emission damage (% of GNI) [NY.ADJ.DPEM.GN.ZS],"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) [SH.DTH.COMM.ZS]","Cause of death, by non-communicable diseases (% of total) [SH.DTH.NCOM.ZS]",Domestic general government health expenditure per capita (current US$) [SH.XPD.GHED.PC.CD],Individuals using the Internet (% of population) [IT.NET.USER.ZS],Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],Lifetime risk of maternal death (1 in: rate varies by country) [SH.MMR.RISK],"Maternal mortality ratio (modeled estimate, per 100,000 live births) [SH.STA.MMRT]","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%) [SH.DYN.NCOM.FE.ZS]","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population) [SH.STA.AIRP.P5]","Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population) [SH.STA.AIRP.FE.P5]","Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population) [SH.STA.AIRP.MA.P5]","Mortality rate attributed to unintentional poisoning, female (per 100,000 female population) [SH.STA.POIS.P5.FE]","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) [SH.STA.WASH.P5]",People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],"People using at least basic sanitation services, urban (% of urban population) [SH.STA.BASS.UR.ZS]",Prevalence of anemia among children (% of children under 5) [SH.ANM.CHLD.ZS]
Afghanistan,2016,AFG,97.09935985,1.918810496,33.981,36.4,44.1,3.120401382,11.2,3.330913861,30,673,27.7,211.1,195,229,1.9,13.9,64.28648363,42.05418277,59.9219787,46.4
Albania,2016,ALB,100,0.15693402,12.08,2.9,93.1,177.7584991,66.3634447,0.027187058,3700,16,13.1,68,55,82,0.4,0.2,91.02037015,97.70487655,98.28801438,24.9
Algeria,2016,DZA,99.97308153,0.116624156,25.25,14.8,75.7,176.265213,42.94552688,0.371412332,270,113,13.2,49.7,44,55,0.6,1.9,93.51585098,87.54231646,89.67236867,30
American Samoa,2016,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.69643741,55.60755445,..,..
Andorra,2016,AND,100,..,8.8,..,..,1883.995361,97.93063712,..,..,..,..,..,..,..,..,..,100,100,100,12.8
Angola,2016,AGO,0,0.629412833,41.882,63.4,27.4,42.02880478,13,1.501205426,67,246,16,118.5,117,120,2,48.8,55.08427629,48.62794479,63.33675598,50.9
Antigua and Barbuda,2016,ATG,100,..,15.717,11.9,81.8,310.3971863,73,0.083550562,1200,43,20,29.9,24,37,0.4,0.1,96.73918628,87.50428238,..,32.3
Arab World,2016,ARB,79.66563504,0.27370976,26.13480325,19.97340575,66.19360066,199.311244,41.48747671,0.538260514,190,152,18.50974664,101.932592,90.50653046,114.0478871,0.926284786,7.416115164,88.41734133,82.84176543,90.31078264,39.95541514
Argentina,2016,ARG,99.73269241,0.117254948,17.383,15.9,77.6,710.9349976,70.96898082,0.095582587,1000,40,12.2,26.6,20,36,0.5,0.4,99.07837465,94.25850542,95.85623215,22.2
Armenia,2016,ARM,100,0.490258399,14.568,2.8,93.3,59.03839874,64.34602977,0.050547865,2000,26,15,54.8,38,78,0.4,0.2,99.89853557,93.40697156,99.58759699,31.5
Aruba,2016,ABW,100,..,11.404,..,..,..,93.54245387,..,..,..,..,..,..,..,..,..,97.86902338,97.54348112,..,..
Australia,2016,AUS,100,0.038765469,12.9,4.6,89.5,3429.609131,86.54,0.012334616,8100,6,7.2,8.4,7,10,0.2,0.1,99.96997202,99.99115238,..,13.9
Austria,2016,AUT,100,0.047684028,10,2.6,92.2,3407.780518,84.32374257,0.007393349,13500,5,8.5,15.3,12,19,0.2,0.1,100,99.97481352,99.95650379,12.6
Azerbaijan,2016,AZE,100,0.150554307,16.3,8.8,86.6,45.29822922,78.2,0.060127104,1700,26,16.1,63.9,51,80,0.3,1.1,90.71031547,92.48309488,96.44327863,23.9
"Bahamas, The",2016,BHS,100,0.144854556,14.131,16.9,73.9,915.0580444,80,0.125916474,790,72,12.7,19.9,15,26,0.1,0.1,98.8869605,94.93058233,..,29.5
Bahrain,2016,BHR,100,0.106050765,14.738,6.9,83,674.6148071,97.9999807,0.034427671,2900,15,11.9,40.1,35,45,0.1,0.1,100,100,..,30.1
