Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
2010,AL,15.60%,6.30%,23.90%,54.20%
2010,AK,13.50%,6.80%,26.10%,53.60%
2010,AZ,10.70%,4.40%,27.90%,57.10%
2100,Arkansas,17.30%,5.60%,24.10%,53%
2010,California,7.50%,4.60%,23.10%,64.80%
2010,Colorado,11.40%,4.60%,24.70%,59.30%
2010,Connecticut,9.20%,4%,105.00%,57.60%
2010,Delaware,12.80%,4.50%,26.80%,56%
2010,District of Columbia,10%,5.70%,23.40%,61%
2010,Florida,12%,5.20%,29.80%,53%
2001,Georgia,12.80%,4.80%,23.10%,59.30%
2010,Guam,19.70%,6.10%,16.60%,57.60%
2010,Hawaii,10.70%,3.80%,25.30%,60.20%
2010,Idaho,11.30%,4.40%,22.90%,61.50%
2010,Illinois,11.50%,5.40%,twenty-three point 6 percent,59.50%
2010,Indiana,16.30%,5%,25.10%,53.70%
2010,Iowa,12.10%,4.10%,23.40%,60.40%
2010,Kansas,11.90%,5.10%,24.20%,58.80%
2010,Kentucky,19.30%,5.50%,26%,49.20%
2010,Louisiana,15.90%,6.20%,22%,56%
2010,Maine,13.90%,4.30%,30.20%,51.60%
2010,Maryland,10.50%,4.70%,23.90%,60.90%
2010,Massachusetts,10.20%,3.90%,29.30%,56.60%
2010,Michigan,13.50%,5.40%,25.30%,55.70%
2010,Minnesota,11.30%,3.60%,25.90%,59.20%
2010,Mississippi,17.10%,5.80%,22%,55%
2010,Missouri,16.60%,4.40%,26.10%,52.80%
2010,Montana,13.50%,5.30%,27.20%,54%
2010,Nationwide (States and DC),12.40%,4.80%,25.10%,56.60%
2010,"Nationwide (States, DC, and Territories)",12.30%,4.80%,24.70%,56.80%
2010,Nebraska,12.50%,4.70%,25.20%,57.60%
2010,Nevada,16.50%,4.90%,25.80%,52.80%
2010,New Hampshire,12.40%,4.50%,30.70%,52.40%
2010,New Jersey,10.20%,4.20%,26.10%,59.40%
2010,New Mexico,11.40%,7.10%,24.70%,56.90%
2010,New York,10.50%,5%,26.80%,57.80%
2010,North Carolina,14.30%,5.40%,24.50%,55.80%
2010,North Dakota,12.20%,5.10%,24.10%,58.60%
2010,Ohio,17.10%,5.40%,24.60%,52.90%
2010,Oklahoma,17.50%,6.20%,24.30%,52%
2010,Oregon,11%,4.10%,28.20%,56.70%
2010,Pennsylvania,13.40%,5%,26.20%,55.40%
2010,Puerto Rico,7.50%,4.40%,17.30%,70.80%
2010,Rhode Island,10.90%,4.80%,28.40%,55.90%
2010,South Carolina,14%,7%,24.10%,54.90%
2010,South Dakota,11.30%,4.10%,27%,57.60%
2010,Tennessee,15.70%,4.40%,22.90%,57%
2010,Texas,10.50%,5.30%,21.30%,62.90%
2010,Utah,6.40%,2.70%,14.30%,76.60%
2010,Vermont,11.10%,4.20%,30.70%,54%
2010,Virginia,14.50%,4%,24.40%,57%
2010,Virgin Islands,3.60%,2.20%,10.50%,83.70%
2010,Washington,11%,4.20%,25.50%,59.30%
2010,West Virginia,23.20%,3.60%,24.40%,48.80%
2010,Wisconsin,13.60%,5.50%,26.30%,54.60%
2010,Wyoming,14.90%,4.60%,24.60%,55.90%
2009,Alabama,16.50%,6%,22.80%,54.60%
2009,Alaska,14.70%,5.90%,28.10%,51.30%
2009,Arizona,11%,5.10%,26%,57.80%
2009,Arkansas,15.50%,5.90%,28.10%,50.40%
2009,California,8.10%,4.70%,23.20%,63.90%
2009,Colorado,12.10%,5%,25.50%,57.40%
2009,Connecticut,10.70%,4.70%,28.20%,56.30%
2009,Delaware,13.30%,5%,28.40%,53.40%
2009,District of Columbia,9.10%,6.20%,24.20%,60.60%
2009,Florida,12.80%,4.30%,27.60%,55.30%
2009,Georgia,12.60%,5.10%,22%,60.30%
2009,Guam,18.90%,5.20%,11.10%,64.80%
2009,Hawaii,10.40%,5%,26.90%,57.70%
2009,Idaho,12.30%,4%,22.10%,61.60%
2009,Illinois,12%,6.60%,23.10%,58.30%
2009,Indiana,17.10%,6%,23.70%,53.20%
2009,Iowa,13.40%,3.80%,24.20%,58.70%
2009,Kansas,13.20%,4.60%,23.30%,58.80%
2009,Kentucky,20.60%,5%,25.30%,49.10%
2009,Louisiana,16.40%,5.70%,23.20%,54.70%
2009,Maine,12.50%,4.70%,31.10%,51.60%
2009,Maryland,10.40%,4.80%,23.40%,61.50%
2009,Massachusetts,10.90%,4%,28.50%,56.60%
2009,Michigan,13.70%,5.90%,25.50%,54.90%
2009,Minnesota,11.30%,5.50%,26.40%,56.80%
2009,Mississippi,17.10%,6.30%,22.10%,54.60%
2009,Missouri,18.30%,4.80%,24.80%,52.10%
2009,Montana,12.20%,4.60%,26.40%,56.80%
2009,Nationwide (States and DC),12.80%,5%,25.50%,55.30%
2009,"Nationwide (States, DC, and Territories)",12.70%,5%,25.50%,55.50%
2009,Nebraska,12.90%,3.80%,24.60%,58.70%
2009,Nevada,15.80%,6.30%,26.50%,51.40%
2009,New Hampshire,11.30%,4.50%,29.40%,54.90%
2009,New Jersey,10%,5.80%,25.40%,58.80%
2009,New Mexico,11.20%,6.70%,25.80%,56.20%
2009,New York,12.10%,5.90%,26.30%,55.70%
2009,North Carolina,14.40%,5.90%,26.20%,53.50%
2009,North Dakota,13.40%,5.20%,24%,57.40%
2009,Ohio,15.60%,4.70%,25.80%,53.80%
2009,Oklahoma,18.80%,6.70%,24.50%,50%
2009,Oregon,13.10%,4.70%,27.60%,54.50%
2009,Pennsylvania,15.10%,5.10%,26%,53.70%
2009,Puerto Rico,6.90%,3.70%,18%,71.50%
2009,Rhode Island,10.20%,4.90%,29.60%,55.40%
2009,South Carolina,14.60%,5.70%,24.50%,55.20%
2009,South Dakota,12.50%,5%,27.20%,55.30%
2009,Tennessee,17.60%,4.40%,24.70%,53.30%
2009,Texas,11.70%,6.20%,21.60%,60.50%
2009,Utah,6.90%,2.90%,15.10%,75.10%
2009,Vermont,12.50%,4.60%,31.60%,51.30%
2009,Virginia,13.80%,5.20%,24.40%,56.50%
2009,Virgin Islands,3.90%,2.60%,11.10%,82.50%
2009,Washington,10.70%,4.20%,26.70%,58.40%
2009,West Virginia,20.70%,4.90%,24.50%,49.90%
2009,Wisconsin,12.60%,6.10%,26.90%,54.30%
2009,Wyoming,15.30%,4.60%,26.10%,54%
2008,Alabama,17.30%,4.90%,21.90%,56%
2008,Alaska,15.10%,6.40%,28.40%,50%
2008,Arizona,10.70%,5.20%,27.40%,56.70%
2008,Arkansas,17%,5.40%,26.30%,51.40%
2008,California,8.90%,5.10%,23.30%,62.70%
2008,Colorado,12.30%,5.40%,24.90%,57.50%
2008,Connecticut,11.60%,4.30%,30.10%,54%
2008,Delaware,13.40%,4.40%,28.50%,53.70%
2008,District of Columbia,9.30%,7%,22.50%,61.20%
2008,Florida,12.80%,4.70%,26.10%,56.40%
2008,Georgia,14.50%,5%,21.40%,59.10%
2008,Guam,21.20%,6.20%,19.40%,53.20%
2008,Hawaii,11.80%,3.70%,25.40%,59.20%
2008,Idaho,12.50%,4.40%,21.90%,61.20%
2008,Illinois,15.10%,6.20%,23.40%,55.30%
2008,Indiana,19.70%,6.30%,23%,51%
2008,Iowa,14.10%,4.60%,24.70%,56.60%
2008,Kansas,13.20%,4.70%,23.20%,59%
2008,Kentucky,20.50%,4.70%,25.30%,49.50%
2008,Louisiana,16%,4.50%,19.90%,59.70%
2008,Maine,14%,4.10%,31.70%,50.10%
2008,Maryland,10.60%,4.30%,24.20%,60.90%
2008,Massachusetts,11.70%,4.40%,28.10%,55.80%
2008,Michigan,15%,5.50%,25.50%,54.10%
2008,Minnesota,12.10%,5.50%,27.10%,55.40%
2008,Mississippi,17.20%,5.50%,22.20%,55.10%
2008,Missouri,20.20%,4.80%,25%,50.10%
2008,Montana,13.80%,4.70%,26.80%,54.70%
2008,Nationwide (States and DC),13.40%,4.90%,25.20%,55.40%
2008,"Nationwide (States, DC, and Territories)",13.40%,4.90%,25.10%,55.50%
2008,Nebraska,13.40%,4.90%,25%,56.60%
2008,Nevada,16.40%,5.80%,25.10%,52.70%
2008,New Hampshire,12.80%,4.20%,31.10%,51.90%
