name,rating,studio,genre,actor1,actor2,actor3,writer,director,date,origin,metascore,Worldwide Gross
Titanic,PG,Paramount Pictures,Romance,Leonardo DiCaprio,Kate Winslet,Billy Zane,James Cameron,James Cameron,1999,USA,74,1835300000
The Lord of the Rings: The Return of the King,PG,New Line Cinema,Action,Elijah Wood,Sean Astin,Ian McKellen,Frances Walsh,Peter Jackson,2004,USA / New Zealand,94,1129219252
Pirates of the Caribbean: Dead Man's Chest,PG,Buena Vista Pictures / Walt Disney Studios,Action,Johnny Depp,Orlando Bloom,Keira Knightley,Ted Elliott,Gore Verbinski,2006,USA,53,1060332628
Harry Potter and the Sorcerer's Stone,PG,Warner Bros.,Fantasy,Daniel Radcliffe,Rupert Grint,Emma Watson,J.K. Rowling,Chris Columbus,2002,UK / USA,64,968657891
Pirates of the Caribbean: At World's End,PG,Buena Vista Pictures,Action,Johnny Depp,Geoffrey Rush,Orlando Bloom,Ted Elliott,Gore Verbinski,2007,USA,50,958404152
Harry Potter and the Order of the Phoenix,PG,Warner Bros.,Adventure,Daniel Radcliffe,Rupert Grint,Emma Watson,J.K. Rowling,David Yates,2007,UK / USA,71,937000866
Star Wars: Episode I - The Phantom Menace,PG,20th Century Fox Film Corporation,Sci-fi,Liam Neeson,Ewan McGregor,Natalie Portman,George Lucas,George Lucas,2001,USA,52,922379000
The Lord of the Rings: The Two Towers,PG,New Line Cinema,Fantasy,Elijah Wood,Ian McKellen,Viggo Mortensen,Frances Walsh,Peter Jackson,2003,USA / New Zealand,88,921600000
Jurassic Park,PG,Universal Pictures,Suspense/Thriller,Sam Neill,Laura Dern,Jeff Goldblum,Michael Crichton,Steven Spielberg,2001,USA,68,919700000
Harry Potter and the Goblet of Fire,PG,Warner Bros.,Adventure,Daniel Radcliffe,Emma Watson,Rupert Grint,Steven Kloves,Mike Newell,2006,UK / USA,81,892194397
Spider-Man 3,PG,Columbia Pictures / Sony Pictures Releasing,Action,Tobey Maguire,Kirsten Dunst,James Franco,Sam Raimi,Sam Raimi,2007,USA,59,885430303
Shrek 2,PG,DreamWorks Distribution LLC,Action,Mike Myers,Eddie Murphy,Cameron Diaz,J. David Stem,Andrew Adamson,2004,USA,75,880871036
Harry Potter and the Chamber of Secrets,PG,Warner Bros.,Fantasy,Daniel Radcliffe,Emma Watson,Rupert Grint,Steven Kloves,Chris Columbus,2003,USA,63,866300000
Finding Nemo,G,Walt Disney Pictures,Family/Kids,Albert Brooks,Alexander Gould,Ellen DeGeneres,Andrew Stanton,Andrew Stanton,2003,USA,89,865000000
The Lord of the Rings: The Fellowship of the Ring,PG,New Line Cinema,Fantasy,Elijah Wood,Ian McKellen,Viggo Mortensen,Frances Walsh,Peter Jackson,2002,New Zealand / USA,92,860700000
Star Wars: Episode III - Revenge of the Sith,PG,Twentieth Century Fox Film Corp.,Action,Ewan McGregor,Natalie Portman,Hayden Christensen,George Lucas,George Lucas,2005,USA,68,848462555
Independence Day,PG,20th Century Fox,Action,Bill Pullman,Mary McDonnell,Jeff Goldblum,Roland Emmerich,Roland Emmerich,2004,USA,59,811200000
